,Title,Year,Rating,Link,Budget,Gross,Net,Date,Month
225,  Grave Encounters,2011,6.1,/title/tt1703199/,75000.0,4055919.0,3980919.0,2011-09-09,09
226,  Priest,2011,5.7,/title/tt0822847/,60000000.0,78309505.0,18309505.0,2011-05-13,05
227,  Deadheads,2011,5.3,/title/tt1273207/,,,,2011-04-29,04
228,  Megan Is Missing,2011,4.6,/title/tt1087461/,,,,,
229,  BloodRayne: The Third Reich,2011,3,/title/tt1153546/,10000000.0,,,2012-03-17,03
230,  Guilty of Romance,2011,6.8,/title/tt1743724/,,246091.0,,2011-11-12,11
231,  The Skin I Live In,2011,7.6,/title/tt1189073/,10403030.56,33716389.0,23313358.439999998,2011-09-02,09
232,  The Tunnel (I),2011,5.8,/title/tt1735485/,135000.0,1532.0,-133468.0,2011-05-19,05
233,  Hell,2011,5.9,/title/tt1643222/,,1359257.0,,2012-07-10,07
234,  Murder 2,2011,6.3,/title/tt1918965/,,9078349.0,,2011-07-08,07
235,  Retreat (I),2011,5.8,/title/tt1410051/,,4498.0,,2012-04-26,04
236,  Hollow (I),2011,5.4,/title/tt1869470/,,,,2013-02-19,02
237,  Final Destination 5,2011,5.9,/title/tt1622979/,40000000.0,157887643.0,117887643.0,2011-08-12,08
238,  Fright Night,2011,6.4,/title/tt1438176/,30000000.0,41002607.0,11002607.0,2011-08-19,08
239,  Vile,2011,4.9,/title/tt1711018/,,,,2012-07-24,07
240,  Panic Button,2011,5.3,/title/tt1727358/,363000.0,,,,
241,  Inbred,2011,5.3,/title/tt1723124/,1512500.0,24.0,-1512476.0,2012-09-21,09
242,  Shark Night,2011,4,/title/tt1633356/,25000000.0,41363927.0,16363927.0,2011-09-02,09
243,  Apollo 18,2011,5.2,/title/tt1772240/,5000000.0,26236153.0,21236153.0,2011-09-02,09
244,  247°F,2011,4.8,/title/tt1877543/,650000.0,,,2011-09-01,09
245,  The Moth Diaries,2011,4.9,/title/tt1407065/,,413035.0,,2012-05-17,05
246,  Juan of the Dead,2011,6.4,/title/tt1838571/,,324834.0,,2012-01-13,01
247,  You're Next,2011,6.6,/title/tt1853739/,1000000.0,26895481.0,25895481.0,2013-08-23,08
248,  Livid,2011,5.7,/title/tt1727516/,2485600.0,,,2022-03-01,03
249,  Twixt,2011,4.7,/title/tt1756851/,7000000.0,647839.0,-6352161.0,2012-04-11,04
250,  Intruders (I),2011,5.4,/title/tt1634121/,10400000.0,5486559.0,-4913441.0,2011-10-07,10
251,  Lovely Molly,2011,5.3,/title/tt1707392/,1000000.0,638274.0,-361726.0,2012-06-29,06
252,  The Awakening (I),2011,6.4,/title/tt1687901/,3630000.0,6879667.0,3249667.0,2011-11-11,11
253,  The Day (I),2011,5.2,/title/tt1756799/,,80848.0,,2012-09-20,09
254,  The Hidden Face,2011,7.3,/title/tt1772250/,2600000.0,6318409.0,3718409.0,2011-09-16,09
255,  The Human Centipede 2 (Full Sequence),2011,3.8,/title/tt1530509/,,170323.0,,,
