,Unnamed: 0,Title,Year,Rating,Link,Budget,Gross,Net,Date,Month
223,362,  The Last Days,2013,6.1,/title/tt1935914/,5200000.0,4343816.0,-856184.0,2013-03-27,3.0
224,363,  Pee Mak,2013,7.2,/title/tt2776344/,1813500.0,20896252.0,19082752.0,2013-03-28,3.0
225,364,  Odd Thomas,2013,6.8,/title/tt1767354/,27000000.0,1149267.0,-25850733.0,2014-02-28,2.0
226,365,  Scary Movie V,2013,3.5,/title/tt0795461/,20000000.0,78378744.0,58378744.0,2013-04-12,4.0
227,370,  The Purge (I),2013,5.7,/title/tt2184339/,3000000.0,89328627.0,86328627.0,2013-06-07,6.0
228,372,  Borgman,2013,6.7,/title/tt1954315/,3224000.0,1052010.0,-2171990.0,2013-08-29,8.0
229,373,  The Last Days on Mars,2013,5.5,/title/tt1709143/,8470000.0,187191.0,-8282809.0,2013-09-19,9.0
230,374,  Only Lovers Left Alive,2013,7.2,/title/tt1714915/,7000000.0,7609187.0,609187.0,2013-12-25,12.0
231,376,  World War Z,2013,7.0,/title/tt0816711/,190000000.0,540455876.0,350455876.0,2013-06-21,6.0
232,377,  The Conjuring,2013,7.5,/title/tt1457767/,20000000.0,320406242.0,300406242.0,2013-07-19,7.0
233,379,  The House at the End of Time,2013,6.7,/title/tt2640474/,300000.0,4588899.0,4288899.0,2013-06-21,6.0
